,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,42,"Kaspa
KAS",$0.1332,0.14%,10.45%,3.21%,"$3,415,016,993","$81,084,579
609,799,285 KAS","25,644,307,073 KAS",
,43,"OKB
OKB",$56.29,0.23%,4.01%,1.31%,"$3,377,214,097","$4,757,064
84,517 OKB","60,000,000 OKB",
,44,"Algorand
ALGO",$0.3893,1.15%,8.24%,3.05%,"$3,273,635,958","$181,424,995
466,004,803 ALGO","8,409,484,276 ALGO",
,45,"Render
RENDER",$5.95,0.38%,11.70%,12.88%,"$3,082,973,142","$119,256,322
20,026,440 RENDER","517,716,590 RENDER",
,46,"Filecoin
FIL",$4.79,0.02%,8.28%,3.49%,"$3,001,369,358","$175,284,470
36,645,191 FIL","625,990,504 FIL",
,47,"Arbitrum
ARB",$0.6361,0.02%,6.01%,8.31%,"$2,763,242,545","$284,935,916
448,498,071 ARB","4,343,862,574 ARB",
,48,"Artificial Superintelligence Alliance
FET",$1.06,0.65%,8.91%,14.40%,"$2,571,245,831","$189,055,231
179,802,426 FET","2,434,566,669 FET",
,49,"Cosmos
ATOM",$6.16,0.14%,7.08%,3.04%,"$2,407,162,907","$156,487,794
25,431,910 ATOM","390,934,204 ATOM",
,50,"Ethena
ENA",$0.7677,1.63%,11.96%,6.69%,"$2,328,227,037","$527,126,670
685,116,728 ENA","3,032,812,500 ENA",
,51,"Raydium
RAY",$7.60,0.14%,17.26%,8.84%,"$2,209,888,720","$181,524,614
23,949,823 RAY","290,866,824 RAY",
,52,"GateToken
GT",$24.60,0.43%,3.47%,8.86%,"$2,182,828,518","$29,587,874
1,202,118 GT","88,747,117 GT",
,53,"Celestia
TIA",$4.27,0.57%,10.23%,5.71%,"$2,175,765,234","$108,871,479
25,594,679 TIA","509,466,028 TIA",
,54,"Stacks
STX",$1.33,0.12%,7.42%,3.54%,"$2,003,137,455","$58,452,442
44,216,400 STX","1,511,017,566 STX",
,55,"Optimism
OP",$1.48,0.08%,3.85%,11.53%,"$2,001,928,561","$191,435,454
129,721,190 OP","1,351,719,035 OP",
,56,"Injective
INJ",$20.09,0.69%,11.53%,3.02%,"$1,987,928,696","$137,686,120
6,883,241 INJ","98,970,935 INJ",
,57,"Theta Network
THETA",$1.98,0.18%,6.70%,0.71%,"$1,983,867,881","$28,973,224
14,652,887 THETA","1,000,000,000 THETA",
,58,"Immutable
IMX",$1.12,0.39%,6.16%,3.96%,"$1,961,593,768","$51,696,917
46,032,410 IMX","1,743,800,322 IMX",
,59,"Lido DAO
LDO",$2.17,2.48%,18.48%,24.88%,"$1,940,607,919","$246,760,416
113,494,490 LDO","896,046,961 LDO",
,60,"Bonk
BONK",$0.00002535,0.49%,5.81%,16.33%,"$1,943,068,739","$314,705,638
12,415,087,843,478 BONK","76,655,256,689,190 BONK",
,61,"Jupiter
JUP",$1.12,1.25%,4.95%,43.13%,"$1,884,017,173","$491,518,152
442,359,788 JUP","1,686,443,547 JUP",
,62,"First Digital USD
FDUSD",$0.9996,0.01%,0.02%,0.04%,"$1,834,958,413","$6,598,790,788
6,600,760,635 FDUSD","1,835,652,021 FDUSD",
,63,"Movement
MOVE",$0.7978,0.33%,2.34%,19.56%,"$1,835,051,480","$259,922,528
326,975,679 MOVE","2,300,000,000 MOVE",
,64,"The Graph
GRT",$0.1839,1.12%,10.44%,1.05%,"$1,756,306,385","$87,405,463
477,435,085 GRT","9,548,531,509 GRT",
,65,"Worldcoin
WLD",$1.83,0.35%,5.55%,18.71%,"$1,777,525,384","$272,002,817
152,733,581 WLD","972,383,281 WLD",
,66,"KuCoin Token
KCS",$13.92,0.17%,3.49%,17.47%,"$1,707,926,120","$3,487,842
248,726 KCS","122,665,482 KCS",
,67,"DeXe
DEXE",$20.48,1.20%,21.17%,6.88%,"$1,715,237,269","$83,572,525
4,098,132 DEXE","83,733,342 DEXE",
,68,"XDC Network
XDC",$0.1117,0.42%,7.98%,2.52%,"$1,668,627,095","$55,381,497
494,966,230 XDC","14,932,919,360 XDC",
,69,"JasmyCoin
JASMY",$0.03327,1.83%,40.84%,26.46%,"$1,644,869,217","$402,411,152
12,204,355,181 JASMY","49,444,999,677 JASMY",
,70,"Flare
FLR",$0.0274,1.61%,17.13%,2.97%,"$1,565,749,884","$35,560,253
1,293,162,619 FLR","57,134,701,808 FLR",
,71,"Sonic (prev. FTM)
S",$0.5257,0.68%,14.50%,8.69%,"$1,514,006,524","$123,502,077
235,285,958 S","2,880,000,000 S",
,72,"Sei
SEI",$0.3333,0.55%,11.83%,1.41%,"$1,477,497,700","$130,861,214
393,774,346 SEI","4,432,638,888 SEI",
,73,"Quant
QNT",$113.35,3.20%,16.03%,5.77%,"$1,368,440,336","$42,035,888
377,106 QNT","12,072,738 QNT",
,74,"The Sandbox
SAND",$0.5379,0.08%,6.77%,1.84%,"$1,315,569,187","$145,901,354
271,812,851 SAND","2,445,857,126 SAND",
,75,"Virtuals Protocol
VIRTUAL",$2.03,0.82%,5.57%,22.78%,"$1,311,446,603","$180,432,605
88,779,082 VIRTUAL","645,824,762 VIRTUAL",
,76,"SPX6900
SPX",$1.31,2.37%,24.49%,3.98%,"$1,219,570,858","$68,768,670
52,327,021 SPX","930,993,090 SPX",
,77,"FLOKI
FLOKI",$0.0001258,0.07%,4.05%,8.98%,"$1,208,812,346","$207,568,372
1,656,675,532,277 FLOKI","9,608,478,071,883 FLOKI",
,78,"dogwifhat
WIF",$1.20,0.35%,1.44%,12.52%,"$1,198,663,141","$558,520,608
465,949,233 WIF","998,841,606 WIF",
,79,"Fartcoin
FARTCOIN",$1.19,0.61%,34.47%,20.19%,"$1,189,280,477","$418,882,330
350,490,079 FARTCOIN","999,998,256 FARTCOIN",
,80,"EOS
EOS",$0.7722,0.10%,7.00%,1.69%,"$1,191,862,087","$135,004,527
175,020,171 EOS","1,543,449,299 EOS",
,81,"Ethereum Name Service
ENS",$33.48,0.15%,7.36%,0.82%,"$1,185,676,287","$115,479,247
3,449,710 ENS","35,412,013 ENS",
,82,"Gala
GALA",$0.03148,0.04%,11.44%,2.54%,"$1,160,385,450","$162,556,877
5,171,887,547 GALA","36,864,990,017 GALA",
,83,"Kaia
KAIA",$0.1935,0.11%,5.13%,5.92%,"$1,147,966,934","$33,677,933
174,252,655 KAIA","5,932,439,951 KAIA",
,84,"Tezos
XTZ",$1.10,0.10%,5.72%,4.34%,"$1,133,717,256","$33,652,399
30,554,796 XTZ","1,027,637,428 XTZ",
,85,"IOTA
IOTA",$0.3111,0.17%,9.92%,1.14%,"$1,123,634,136","$43,553,879
140,289,015 IOTA","3,612,259,692 IOTA",
,86,"Pyth Network
PYTH",$0.2883,0.08%,6.79%,7.09%,"$1,045,009,987","$44,643,273
155,319,922 PYTH","3,624,988,071 PYTH",
,87,"Onyxcoin
XCN",$0.03383,0.09%,1.59%,82.79%,"$1,041,550,148","$551,065,882
16,302,754,017 XCN","30,790,293,735 XCN",
,88,"BitTorrent [New]
BTT",$0.051029,0.11%,3.70%,3.21%,"$1,014,303,856","$35,973,746
34,975,819,727,410 BTT","986,061,142,857,000 BTT",
,89,"Flow
FLOW",$0.6487,0.32%,6.39%,4.72%,"$1,012,542,565","$35,472,402
54,829,317 FLOW","1,560,781,544 FLOW",
,90,"Arweave
AR",$15.32,0.34%,20.15%,4.16%,"$1,005,931,652","$50,558,428
3,313,159 AR","65,652,466 AR",
,91,"Curve DAO Token
CRV",$0.7853,0.08%,13.80%,2.04%,"$1,002,581,641","$221,740,960
282,606,151 CRV","1,276,643,559 CRV",
,92,"Bitcoin SV
BSV",$49.71,0.14%,4.36%,2.37%,"$985,113,106","$53,619,893
1,080,296 BSV","19,818,347 BSV",
,93,"Maker
MKR","$1,097.22",0.66%,0.28%,11.81%,"$973,427,836","$95,108,722
86,627 MKR","887,179 MKR",
,94,"Neo
NEO",$13.86,0.10%,7.31%,0.06%,"$977,644,853","$35,453,916
2,567,500 NEO","70,538,831 NEO",
,95,"Jito
JTO",$3.35,0.57%,8.97%,20.93%,"$965,038,550","$80,093,841
23,968,709 JTO","288,316,927 JTO",
,96,"Nexo
NEXO",$1.48,0.53%,4.79%,6.76%,"$953,635,395","$11,803,469
7,989,456 NEXO","646,145,840 NEXO",
,97,"Ronin
RON",$1.54,0.39%,6.28%,6.54%,"$950,860,779","$24,000,355
ron 15,640,512","619,389,699 RON",
,98,"Pudgy Penguins
PENGU",$0.01527,4.27%,3.33%,37.09%,"$959,574,327","$282,951,412
18,791,220,588 PENGU","62,860,396,090 PENGU",
,99,"Decentraland
MANA",$0.4514,0.40%,6.82%,4.21%,"$876,671,340","$89,532,469
198,520,359 MANA","1,942,255,184 MANA",
,100,"Axie Infinity
AXS",$5.48,0.07%,8.50%,5.65%,"$866,902,111","$68,023,321
12,417,155 AXS","158,188,507 AXS",
,101,"Starknet
STRK",$0.3551,0.03%,7.25%,3.09%,"$859,095,558","$61,487,377
173,141,246 STRK","2,419,112,366 STRK",
,102,"AIOZ Network
AIOZ",$0.7323,0.13%,4.33%,7.14%,"$844,908,067","$41,259,424
56,340,768 AIOZ","1,153,742,953 AIOZ",
,103,"MultiversX
EGLD",$29.97,0.26%,10.08%,1.40%,"$833,733,038","$42,110,649
1,404,910 EGLD","27,815,298 EGLD",
,104,"Aerodrome Finance
AERO",$1.10,0.03%,15.39%,7.82%,"$832,977,989","$63,647,382
57,981,770 AERO","758,829,931 AERO",
,105,"Brett (Based)
BRETT",$0.08112,1.33%,5.63%,6.14%,"$803,934,210","$39,740,098
489,883,081 BRETT","9,910,236,395 BRETT",
,106,"Polygon
MATIC",$0.4153,0.18%,7.83%,4.34%,"$794,802,945","$7,772,936
18,716,235 MATIC","1,913,783,718 MATIC",
,107,"Beam
BEAM",$0.01603,0.08%,10.39%,15.07%,"$792,842,995","$38,283,919
2,388,559,259 BEAM","49,466,004,168 BEAM",
,108,"DeepBook Protocol
DEEP",$0.2831,0.13%,18.97%,6.74%,"$786,668,378","$79,018,907
279,143,728 DEEP","2,779,000,000 DEEP",
,109,"THORChain
RUNE",$2.23,1.32%,10.38%,24.57%,"$784,936,872","$348,466,798
156,009,929 RUNE","351,419,263 RUNE",
,110,"dYdX (Native)
DYDX",$1.07,0.08%,9.04%,5.38%,"$775,286,069","$39,360,358
36,656,133 DYDX","722,020,603 DYDX",
,111,"FTX Token
FTT",$2.34,10.71%,13.47%,17.32%,"$768,171,589","$30,392,574
13,012,677 FTT","328,895,104 FTT",
,112,"Conflux
CFX",$0.1561,0.60%,7.05%,4.87%,"$753,852,667","$54,375,340
348,355,977 CFX","4,829,562,109 CFX",
